"Index","Lesson","Theme","Target type","Korean / grammar target","English gloss / learning goal","Provenance"
"163","10","Hobbies and free time","Vocabulary","노래","song","PDF batches 01–02"
"164","10","Hobbies and free time","Vocabulary","게임","game","PDF batches 01–02"
"165","10","Hobbies and free time","Vocabulary","요리","cooking","PDF batches 01–02"
"166","10","Hobbies and free time","Vocabulary","독서","reading","PDF batches 01–02"
"167","10","Hobbies and free time","Vocabulary","노래하다","to sing","PDF batches 01–02"
"168","10","Hobbies and free time","Vocabulary","춤추다","to dance","PDF batches 01–02"
"169","10","Hobbies and free time","Grammar","V-고 싶어요","want to do","PDF batches 01–02"
"170","10","Hobbies and free time","Grammar","V-(으)ㄹ 수 있어요/없어요","can / cannot","PDF batches 01–02"
"171","11","Health and symptoms","Vocabulary","몸","body","NEW authored Batch 03"
"172","11","Health and symptoms","Vocabulary","머리","head","NEW authored Batch 03"
"173","11","Health and symptoms","Vocabulary","얼굴","face","NEW authored Batch 03"
"174","11","Health and symptoms","Vocabulary","코","nose","NEW authored Batch 03"
"175","11","Health and symptoms","Vocabulary","입","mouth","NEW authored Batch 03"
"176","11","Health and symptoms","Vocabulary","귀","ear","NEW authored Batch 03"
"177","11","Health and symptoms","Vocabulary","목","neck / throat","NEW authored Batch 03"
"178","11","Health and symptoms","Vocabulary","배","stomach / belly","NEW authored Batch 03"
"179","11","Health and symptoms","Vocabulary","손","hand","NEW authored Batch 03"
"180","11","Health and symptoms","Vocabulary","발","foot","NEW authored Batch 03"
"181","11","Health and symptoms","Vocabulary","다리","leg","NEW authored Batch 03"
"182","11","Health and symptoms","Vocabulary","어깨","shoulder","NEW authored Batch 03"
"183","11","Health and symptoms","Vocabulary","아프다","to hurt / be sick","NEW authored Batch 03"
"184","11","Health and symptoms","Vocabulary","감기","a cold","NEW authored Batch 03"
"185","11","Health and symptoms","Vocabulary","약","medicine","NEW authored Batch 03"
"186","11","Health and symptoms","Grammar","안 + V/A","do not / not","NEW authored Batch 03"
"187","11","Health and symptoms","Grammar","못 + V","cannot (ability or circumstances)","NEW authored Batch 03"
"188","12","Around the house","Vocabulary","방","room","NEW authored Batch 03"
"189","12","Around the house","Vocabulary","부엌","kitchen","NEW authored Batch 03"
"190","12","Around the house","Vocabulary","거실","living room","NEW authored Batch 03"
"191","12","Around the house","Vocabulary","침대","bed","NEW authored Batch 03"
"192","12","Around the house","Vocabulary","책상","desk","NEW authored Batch 03"
"193","12","Around the house","Vocabulary","의자","chair","NEW authored Batch 03"
"194","12","Around the house","Vocabulary","창문","window","NEW authored Batch 03"
"195","12","Around the house","Vocabulary","문","door","NEW authored Batch 03"
"196","12","Around the house","Vocabulary","불","light","NEW authored Batch 03"
"197","12","Around the house","Vocabulary","냉장고","refrigerator","NEW authored Batch 03"
"198","12","Around the house","Vocabulary","세탁기","washing machine","NEW authored Batch 03"
"199","12","Around the house","Vocabulary","빨래","laundry","NEW authored Batch 03"
"200","12","Around the house","Vocabulary","설거지","washing dishes","NEW authored Batch 03"
"201","12","Around the house","Vocabulary","정리하다","to tidy up","NEW authored Batch 03"
"202","12","Around the house","Vocabulary","깨끗하다","to be clean","NEW authored Batch 03"
"203","12","Around the house","Grammar","V-고 있어요","action in progress","NEW authored Batch 03"
"204","12","Around the house","Grammar","A-아/어지다","become / get (state change)","NEW authored Batch 03"
"205","13","Birthdays and gifts","Vocabulary","생일","birthday","NEW authored Batch 03"
"206","13","Birthdays and gifts","Vocabulary","선물","gift","NEW authored Batch 03"
"207","13","Birthdays and gifts","Vocabulary","카드","card","NEW authored Batch 03"
"208","13","Birthdays and gifts","Vocabulary","편지","letter","NEW authored Batch 03"
"209","13","Birthdays and gifts","Vocabulary","꽃","flower","NEW authored Batch 03"
"210","13","Birthdays and gifts","Vocabulary","케이크","cake","NEW authored Batch 03"
"211","13","Birthdays and gifts","Vocabulary","파티","party","NEW authored Batch 03"
"212","13","Birthdays and gifts","Vocabulary","축하하다","to congratulate","NEW authored Batch 03"
"213","13","Birthdays and gifts","Vocabulary","초대하다","to invite","NEW authored Batch 03"
"214","13","Birthdays and gifts","Vocabulary","감사하다","to thank","NEW authored Batch 03"
"215","13","Birthdays and gifts","Vocabulary","받다","to receive","NEW authored Batch 03"
"216","13","Birthdays and gifts","Vocabulary","주다","to give","NEW authored Batch 03"
"217","13","Birthdays and gifts","Vocabulary","보내다","to send","NEW authored Batch 03"
"218","13","Birthdays and gifts","Vocabulary","만나다","to meet","NEW authored Batch 03"
"219","13","Birthdays and gifts","Vocabulary","전화하다","to call by phone","NEW authored Batch 03"
"220","13","Birthdays and gifts","Grammar","N에게 / N한테","to a person / recipient","NEW authored Batch 03"
"221","13","Birthdays and gifts","Grammar","V-(으)시-","respectful subject action","NEW authored Batch 03"
"222","14","Invitations and appointments","Vocabulary","약속","appointment / promise","NEW authored Batch 03"
"223","14","Invitations and appointments","Vocabulary","일정","schedule","NEW authored Batch 03"
"224","14","Invitations and appointments","Vocabulary","계획","plan","NEW authored Batch 03"
"225","14","Invitations and appointments","Vocabulary","날짜","date","NEW authored Batch 03"
"226","14","Invitations and appointments","Vocabulary","장소","place / venue","NEW authored Batch 03"
"227","14","Invitations and appointments","Vocabulary","모임","gathering","NEW authored Batch 03"
"228","14","Invitations and appointments","Vocabulary","행사","event","NEW authored Batch 03"
"229","14","Invitations and appointments","Vocabulary","주중","weekdays","NEW authored Batch 03"
"230","14","Invitations and appointments","Vocabulary","금요일","Friday","NEW authored Batch 03"
"231","14","Invitations and appointments","Vocabulary","토요일","Saturday","NEW authored Batch 03"
"232","14","Invitations and appointments","Vocabulary","일요일","Sunday","NEW authored Batch 03"
"233","14","Invitations and appointments","Vocabulary","잠깐","for a moment","NEW authored Batch 03"
"234","14","Invitations and appointments","Vocabulary","함께","together","NEW authored Batch 03"
"235","14","Invitations and appointments","Vocabulary","기다리다","to wait","NEW authored Batch 03"
"236","14","Invitations and appointments","Vocabulary","시작하다","to begin","NEW authored Batch 03"
"237","14","Invitations and appointments","Grammar","V-(으)ㄹ까요?","shall we? / shall I?","NEW authored Batch 03"
"238","14","Invitations and appointments","Grammar","V-(으)ㅂ시다","let's (formal proposal)","NEW authored Batch 03"
"239","15","Trips and experiences","Vocabulary","여행","travel / trip","NEW authored Batch 03"
"240","15","Trips and experiences","Vocabulary","관광","sightseeing","NEW authored Batch 03"
"241","15","Trips and experiences","Vocabulary","사진","photograph","NEW authored Batch 03"
"242","15","Trips and experiences","Vocabulary","바다","sea","NEW authored Batch 03"
"243","15","Trips and experiences","Vocabulary","산","mountain","NEW authored Batch 03"
"244","15","Trips and experiences","Vocabulary","강","river","NEW authored Batch 03"
"245","15","Trips and experiences","Vocabulary","섬","island","NEW authored Batch 03"
"246","15","Trips and experiences","Vocabulary","숙소","accommodation","NEW authored Batch 03"
"247","15","Trips and experiences","Vocabulary","호텔","hotel","NEW authored Batch 03"
"248","15","Trips and experiences","Vocabulary","박물관","museum","NEW authored Batch 03"
"249","15","Trips and experiences","Vocabulary","시장","market","NEW authored Batch 03"
"250","15","Trips and experiences","Vocabulary","풍경","scenery","NEW authored Batch 03"
"251","15","Trips and experiences","Vocabulary","방문하다","to visit","NEW authored Batch 03"
"252","15","Trips and experiences","Vocabulary","찍다","to take a photo","NEW authored Batch 03"
"253","15","Trips and experiences","Vocabulary","구경하다","to look around / sightsee","NEW authored Batch 03"
"254","15","Trips and experiences","Grammar","V-(으)ㄴ 적이 있어요/없어요","have / have never done","NEW authored Batch 03"
"255","15","Trips and experiences","Grammar","V-아/어 보다","try doing / experience doing","NEW authored Batch 03"
